x,y,z,color
478.0507710955286,3630.9024840589395,657.7246762329154,1
478.32171187672884,3631.2498959765157,657.7915251733237,1
477.52795385590616,3630.2321053180403,657.5956820728591,1
477.0764314883943,3629.6531439271744,657.4842784233048,1
479.6335537373077,3632.9319960070898,658.1151945669619,1
477.5279335887261,3630.2320793305908,657.5956770723586,1
477.15246178708935,3629.7506332447538,657.5030373007398,1
477.5992233940418,3630.323490183762,657.6132663327356,1
477.0954421031446,3629.6775201546866,657.4889688927384,1
478.0983432335605,3630.9634830994814,657.7364136576261,1
479.3816813323208,3632.609034381256,658.0530503474137,1
476.8673025658268,3629.384989832069,657.432680259232,1
478.1221065019989,3630.9939533838715,657.7422767444184,1
476.9243344100795,3629.458118514606,657.4467516675336,1
477.45667418418043,3630.1407074585936,657.5780953127323,1
475.5554809724283,3627.7029157889456,657.1090158660944,1
476.72471079488764,3629.202152533258,657.3974987381778,1
477.076421354804,3629.6531309334496,657.4842759230544,1
477.49467717322,3630.189436524914,657.5874717511497,1
477.97952689136787,3630.81113167753,657.7070982236646,1
477.095417782529,3629.677488969747,657.4889628921379,1
478.1221166355889,3630.993966377596,657.7422792446687,1
477.0764314883943,3629.6531439271744,657.4842784233048,1
477.5802735808303,3630.2991919185974,657.608590864803,1
477.3806378053307,3630.0432103447793,657.5593349351469,1
478.5974225387191,3631.6034240403014,657.8595509815158,1
479.40538987937373,3632.6394344995333,658.0588999328548,1
476.2684398271243,3628.617102283004,657.2849234713651,1
477.8131536115279,3630.597800705623,657.6660491153676,1
500.3186712659319,3659.455342969027,663.2188123497253,1
653.294473699629,3855.607493379337,700.9623748193476,1
734.7848925316422,3960.098011732162,721.0684220825733,1
784.6915867495652,4024.0905205798167,733.3818494410142,1
2262.2623906439744,-9266.832153054936,833.6651395157052,1
2262.5649145207612,-9269.273952917572,833.7731837574148,1
2262.4347119687636,-9268.223032319307,833.726682845987,1
2259.3005978060387,-9242.92625372017,832.6073563592995,1
839.0185529047542,4093.7508921358153,746.7858859503318,1
2242.616947703622,-9108.265363607808,826.6489098941508,1
2221.9045221875936,-8941.086500514148,819.2516150669976,1
2199.170125668738,-8757.587442897671,811.132187738835,1
1156.424904381078,4500.742961505457,825.0992287444902,1
2145.684573844552,-8325.88263174531,792.0302049444829,1
1404.5441473989317,4818.892121711528,886.317434498428,1
1416.5574417440357,4834.296084180202,889.2814622620798,1
1403.2489980594614,4817.231425549141,885.9978836333624,1
1340.794373922589,4737.149421515694,870.5885184257603,1
1267.1464234502273,4642.714853246459,852.4174353185607,1
997.0741167846488,4296.416531054709,785.78277273939,1
910.8464338102035,4185.851688960373,764.5079051643866,1
823.2643357370723,4073.5501575993117,742.8988641444739,1
762.904943974612,3996.154750591745,728.0064534666333,1
875.5217300971688,4140.556835227398,755.7922773323855,1
589.5506036159953,3773.872362767426,685.2349152846942,1
503.13283898355064,3663.063789799469,663.9131490576237,1
403.8265489003795,3535.7289954124494,639.4114101959815,1
311.5388642870057,3417.3937586932448,616.6413646465136,1
195.35927966657027,3268.4233006565746,587.9764951700697,1
103.37257871963595,3150.473998133963,565.2807110111999,1
5.95158900130923,3025.5566169250433,541.2441303704165,1
